state,district,id,name,votes %,money %,poll %
PA,01,H8PA01153,"Brady, Robert A.",82.84,90.11570129878996,74.0
CO,07,H6CO07023,"Perlmutter, Ed",55.07,80.69460817087226,54.0
CA,51,H2CA50026,"Vargas, Juan",68.79,100.0,56.0
AZ,03,H2AZ07070,"Grijalva, Raul ",55.72,79.12770495270439,56.0
IN,02,H0IN02190,"Walorski, Jackie",58.94,65.23196926452981,54.0
CA,18,H4CA18094,"Fox, Richard B.",32.25,5.15755750216764,25.0
VA,04,H4VA04033,"Fausz, Elliott G.",37.52,2.988456249850792,48.0
NY,03,H0NY02085,"Israel, Steve J.",54.78,94.3414475068693,54.0
NJ,04,H8NJ04014,"Smith, Christopher H.",67.96,98.3196187697807,54.0
NY,12,H4NY12052,"Di Iorio, Nicholas S.",20.04,10.44250950390521,21.0
NC,06,H4NC06052,"Walker, Mark",58.67,44.54887430290633,60.0
NY,18,H0NY19139,"Hayworth, Nan",47.81999999999999,33.63476907555922,41.0
ID,01,H0ID01253,"Labrador, Raul R.",65.01,64.62614744361457,65.0
TN,08,H0TN08246,"Fincher, Stephen Lee",70.83,99.76929108400732,67.0
MI,11,H4MI11097,"Trott, Dave",55.9,49.45336030225054,40.0
FL,26,H8FL25015,"Garcia, Joe",48.54,59.75420737342486,48.0
VA,04,H2VA04052,"Forbes, J. Randy",60.15,97.0115437501492,48.0
SC,03,H0SC03077,"Duncan, Jeff",71.18,98.50684004809138,55.0
MS,02,H4MS02068,"Thompson, Bennie G.",67.74,100.0,53.0
MN,06,H4MN06129,"Perske, Joe",38.39,9.21142298810249,37.0
CA,39,H4CA39041,"Anderson, Peter O.",31.46,0.0637332178328633,37.0
NE,02,H4NE02054,"Ashford, Brad ",48.9,47.01648508842696,45.0
MD,02,H4MD02174,"Banach, David ",35.86,0.17622786503497442,27.0
MO,04,H0MO04086,"Hartzler, Vicky ",68.08,98.09148797908388,69.0
IA,02,H6IA02146,"Loebsack, Dave",52.48,53.17171126844941,49.0
CA,37,H4CA37078,"King, R. Adam",15.72,2.4774076895133654,17.0
MO,06,H0MO06073,"Graves, Sam ",66.65,83.75706678295136,68.0
CA,33,H4CA33119,"Lieu, Ted",59.19,52.49531145402487,65.0
WI,04,H4WI04183,"Moore, Gwen",70.24,94.29761409332866,63.0
