CD,Dem,Rep,Ind,Other,Not sure,N (LV),MOE,Dem lead
AK01,28%,43%,7%,0%,23%,561,9%,-15%
AL01,23%,70%,0%,1%,6%,98,14%,-47%
AL02,20%,59%,0%,0%,21%,100,16%,-39%
AL03,29%,66%,0%,1%,4%,76,16%,-37%
AL04,0%,64%,0%,9%,27%,68,18%,-64%
AL05,0%,68%,18%,0%,14%,122,17%,-68%
AL06,10%,87%,0%,0%,3%,121,16%,-77%
AL07,64%,0%,0%,11%,25%,76,19%,64%
AR01,30%,59%,0%,0%,11%,273,9%,-29%
AR02,40%,41%,0%,0%,19%,475,7%,-1%
AR03,0%,61%,20%,0%,19%,460,7%,-61%
AR04,33%,34%,4%,1%,28%,359,8%,-1%
AZ01,47%,47%,0%,2%,5%,357,12%,0%
AZ02,45%,44%,0%,1%,9%,621,6%,0%
AZ03,56%,40%,0%,3%,1%,138,15%,16%
AZ04,25%,65%,0%,1%,9%,237,8%,-40%
AZ05,29%,56%,0%,0%,15%,204,10%,-27%
AZ06,33%,62%,0%,0%,4%,285,10%,-29%
AZ07,54%,0%,21%,2%,23%,88,23%,54%
AZ08,0%,68%,0%,11%,21%,255,9%,-68%
AZ09,52%,38%,0%,1%,10%,436,8%,14%
CA01,33%,59%,0%,1%,6%,164,10%,-26%
CA02,65%,22%,0%,1%,13%,179,14%,42%
CA03,51%,39%,0%,2%,7%,292,9%,12%
CA04,0%,48%,25%,2%,25%,172,11%,-48%
CA05,60%,0%,24%,0%,16%,167,10%,60%
CA06,70%,25%,0%,0%,4%,119,16%,45%
CA07,42%,48%,0%,1%,9%,404,7%,-6%
CA08,31%,53%,0%,1%,15%,140,13%,-23%
CA09,47%,38%,0%,0%,15%,225,12%,9%
CA10,40%,47%,0%,0%,13%,202,11%,-7%
CA11,66%,25%,0%,0%,9%,138,12%,40%
CA12,85%,12%,0%,1%,2%,138,14%,73%
CA13,86%,11%,0%,2%,2%,142,11%,75%
CA14,78%,18%,0%,1%,3%,123,15%,60%
CA15,64%,29%,0%,1%,6%,129,13%,35%
CA16,49%,34%,0%,1%,16%,88,18%,14%
CA17,41%,0%,32%,2%,24%,85,16%,41%
CA18,75%,25%,0%,1%,0%,183,11%,50%
CA19,58%,0%,28%,3%,11%,83,19%,58%
CA20,60%,0%,23%,0%,17%,77,20%,60%
CA21,27%,30%,0%,0%,43%,98,24%,-3%
CA22,34%,58%,0%,3%,5%,74,16%,-24%
CA23,30%,69%,0%,0%,1%,96,18%,-40%
CA24,45%,43%,0%,1%,12%,304,10%,2%
CA25,0%,29%,46%,3%,22%,111,16%,-29%
CA26,47%,45%,0%,1%,7%,271,11%,3%
CA27,61%,34%,0%,1%,4%,120,13%,27%
CA28,68%,0%,20%,0%,12%,150,12%,68%
CA29,60%,18%,0%,1%,21%,47,20%,42%
CA30,59%,39%,0%,0%,2%,148,16%,19%
CA31,47%,36%,0%,0%,16%,193,10%,11%
CA32,64%,32%,0%,0%,3%,66,19%,32%
CA33,65%,33%,0%,0%,1%,148,12%,32%
CA34,53%,0%,18%,1%,28%,62,18%,53%
CA35,27%,0%,49%,3%,22%,50,24%,27%
CA36,49%,45%,0%,0%,5%,344,11%,4%
CA37,80%,17%,0%,0%,3%,86,18%,62%
CA38,59%,23%,0%,1%,17%,68,18%,36%
CA39,37%,58%,0%,0%,5%,109,16%,-22%
CA40,58%,0%,6%,3%,33%,25,38%,58%
CA41,58%,36%,0%,2%,4%,70,17%,22%
CA42,31%,55%,0%,0%,14%,106,15%,-24%
CA43,73%,22%,0%,0%,5%,69,19%,52%
CA44,50%,0%,14%,0%,35%,39,21%,50%
CA45,39%,55%,0%,1%,5%,125,13%,-16%
CA46,64%,36%,0%,0%,0%,60,20%,27%
CA47,61%,33%,0%,1%,5%,101,14%,27%
CA48,31%,55%,0%,0%,14%,132,14%,-23%
CA49,41%,56%,0%,1%,1%,148,10%,-15%
CA50,35%,62%,0%,1%,2%,140,11%,-27%
CA51,56%,29%,0%,0%,15%,74,19%,26%
CA52,49%,40%,0%,1%,10%,460,7%,9%
CA53,67%,33%,0%,0%,0%,119,14%,33%
CO01,58%,29%,0%,1%,13%,212,12%,29%
CO02,57%,35%,0%,0%,8%,197,11%,22%
CO03,36%,56%,0%,0%,7%,160,14%,-20%
CO04,34%,52%,0%,0%,13%,130,13%,-18%
CO05,33%,63%,0%,0%,4%,211,9%,-31%
CO06,47%,43%,0%,0%,10%,473,8%,3%
CO07,54%,39%,0%,1%,6%,228,9%,16%
CT01,62%,33%,0%,0%,4%,209,10%,29%
CT02,50%,34%,0%,0%,16%,219,10%,16%
CT03,60%,33%,0%,1%,7%,222,9%,27%
CT04,55%,40%,0%,0%,5%,190,11%,16%
CT05,50%,41%,0%,0%,9%,427,6%,9%
DE01,56%,32%,0%,0%,12%,461,7%,24%
FL01,22%,69%,0%,1%,8%,200,10%,-47%
FL02,43%,46%,0%,0%,10%,361,9%,-2%
FL03,28%,65%,0%,0%,7%,193,11%,-37%
FL04,0%,68%,23%,5%,4%,166,12%,-68%
FL05,60%,32%,0%,1%,7%,119,14%,28%
FL06,36%,60%,0%,1%,3%,263,9%,-24%
FL07,37%,55%,0%,0%,8%,218,12%,-17%
FL08,28%,57%,0%,0%,15%,219,11%,-29%
FL09,61%,37%,0%,1%,1%,141,11%,23%
FL10,39%,53%,0%,0%,8%,217,9%,-13%
FL11,32%,63%,0%,1%,4%,258,8%,-31%
FL12,0%,70%,0%,7%,23%,226,10%,-70%
FL13,0%,65%,22%,2%,11%,474,6%,-65%
FL14,67%,0%,0%,7%,27%,151,13%,67%
FL15,33%,53%,0%,1%,14%,194,10%,-19%
FL16,39%,59%,0%,0%,2%,238,10%,-20%
FL17,37%,56%,0%,1%,6%,164,11%,-20%
FL18,54%,35%,0%,0%,11%,424,9%,19%
FL19,36%,59%,0%,0%,4%,214,8%,-23%
FL20,71%,18%,0%,0%,11%,99,18%,53%
FL21,46%,0%,27%,0%,27%,146,14%,46%
FL22,57%,38%,0%,0%,5%,177,11%,19%
FL23,64%,34%,0%,0%,2%,123,15%,30%
FL24,78%,17%,0%,1%,4%,79,17%,61%
FL25,0%,66%,0%,10%,24%,69,16%,-66%
FL26,48%,47%,0%,3%,3%,203,13%,1%
FL27,0%,62%,0%,14%,23%,86,16%,-62%
GA01,38%,56%,0%,0%,6%,128,11%,-17%
GA02,64%,33%,0%,0%,3%,68,19%,32%
GA03,0%,67%,0%,3%,30%,116,14%,-67%
GA04,75%,0%,0%,8%,17%,134,14%,75%
GA05,92%,0%,0%,5%,3%,97,17%,92%
GA06,38%,61%,0%,0%,2%,192,9%,-23%
GA07,37%,59%,0%,0%,4%,121,14%,-22%
GA08,0%,86%,0%,6%,9%,96,15%,-86%
GA09,19%,74%,0%,0%,7%,154,11%,-55%
GA10,30%,51%,0%,0%,19%,106,15%,-20%
GA11,0%,71%,0%,1%,28%,134,13%,-71%
GA12,46%,42%,0%,0%,12%,197,14%,4%
GA13,72%,0%,0%,4%,23%,128,13%,72%
GA14,0%,67%,0%,3%,30%,103,18%,-67%
HI01,50%,35%,0%,0%,15%,558,8%,15%
HI02,72%,14%,0%,0%,15%,444,9%,58%
IA01,47%,39%,0%,0%,14%,633,7%,9%
IA02,49%,35%,0%,1%,15%,552,7%,14%
IA03,40%,40%,0%,1%,18%,653,6%,0%
IA04,41%,49%,0%,0%,10%,484,7%,-7%
ID01,30%,65%,0%,0%,5%,334,8%,-35%
ID02,26%,54%,0%,0%,20%,241,10%,-27%
IL01,67%,20%,0%,0%,13%,104,13%,47%
IL02,70%,22%,0%,0%,8%,108,14%,49%
IL03,57%,38%,0%,0%,4%,124,12%,19%
IL04,63%,21%,0%,1%,14%,72,19%,42%
IL05,62%,29%,0%,1%,8%,152,10%,33%
IL06,34%,52%,0%,0%,14%,164,15%,-18%
IL07,75%,15%,0%,0%,10%,101,14%,60%
IL08,47%,42%,0%,0%,11%,138,12%,5%
IL09,64%,33%,0%,1%,3%,210,9%,31%
IL10,45%,40%,0%,0%,14%,433,7%,5%
IL11,46%,43%,0%,1%,10%,358,9%,3%
IL12,45%,45%,0%,2%,8%,318,11%,-1%
IL13,40%,45%,0%,1%,14%,317,9%,-5%
IL14,36%,60%,0%,2%,2%,188,9%,-25%
IL15,27%,53%,0%,1%,19%,114,14%,-27%
IL16,37%,57%,0%,1%,6%,140,10%,-20%
IL17,49%,34%,0%,0%,17%,322,9%,15%
IL18,33%,55%,0%,0%,12%,156,11%,-23%
IN01,65%,29%,0%,0%,6%,133,11%,36%
IN02,38%,54%,0%,0%,8%,258,8%,-16%
IN03,25%,74%,0%,0%,1%,124,12%,-50%
IN04,27%,72%,0%,0%,1%,138,10%,-45%
IN05,29%,67%,0%,0%,5%,148,13%,-38%
IN06,29%,70%,0%,0%,2%,136,12%,-41%
IN07,61%,31%,0%,1%,6%,112,15%,30%
IN08,23%,72%,0%,0%,5%,107,14%,-49%
IN09,30%,64%,0%,1%,6%,143,12%,-34%
KS01,24%,54%,0%,0%,23%,352,10%,-30%
KS02,38%,45%,0%,0%,17%,496,7%,-8%
KS03,37%,48%,0%,1%,14%,725,6%,-11%
KS04,28%,48%,0%,0%,24%,400,9%,-20%
KY01,27%,57%,0%,0%,15%,184,11%,-30%
KY02,26%,60%,0%,0%,14%,213,10%,-33%
KY03,57%,32%,0%,0%,10%,278,8%,25%
KY04,27%,56%,0%,0%,17%,251,9%,-29%
KY05,23%,56%,0%,0%,21%,166,11%,-33%
KY06,38%,49%,0%,0%,13%,410,8%,-12%
LA01,27%,37%,14%,0%,21%,303,10%,-9%
LA02,48%,12%,18%,1%,21%,189,12%,36%
LA03,27%,35%,14%,1%,23%,187,12%,-8%
LA04,35%,43%,4%,0%,18%,189,14%,-9%
LA05,24%,41%,0%,0%,35%,181,12%,-18%
LA06,28%,46%,0%,0%,26%,269,11%,-18%
MA01,57%,0%,0%,5%,37%,183,10%,57%
MA02,64%,0%,0%,4%,32%,210,9%,64%
MA03,53%,40%,0%,1%,6%,231,8%,13%
MA04,64%,0%,0%,5%,31%,221,8%,64%
MA05,72%,0%,0%,7%,21%,286,7%,72%
MA06,43%,40%,0%,0%,16%,432,6%,4%
MA07,80%,0%,0%,2%,18%,186,10%,80%
MA08,77%,0%,0%,3%,20%,215,9%,77%
MA09,50%,35%,0%,0%,15%,254,7%,15%
MD01,26%,65%,0%,0%,9%,150,13%,-40%
MD02,60%,27%,0%,1%,11%,136,14%,33%
MD03,55%,31%,0%,0%,14%,141,11%,24%
MD04,71%,20%,0%,0%,10%,91,15%,51%
MD05,65%,28%,0%,0%,6%,127,12%,37%
MD06,58%,38%,0%,0%,4%,157,13%,19%
MD07,65%,24%,0%,2%,9%,108,14%,41%
MD08,58%,30%,0%,0%,12%,176,12%,27%
ME01,52%,26%,0%,0%,21%,631,8%,26%
ME02,42%,40%,0%,0%,18%,546,6%,3%
MI01,42%,46%,0%,0%,12%,373,7%,-4%
MI02,29%,49%,0%,0%,21%,119,16%,-20%
MI03,40%,54%,0%,0%,6%,139,12%,-13%
MI04,39%,55%,0%,0%,6%,132,11%,-17%
MI05,57%,30%,0%,0%,14%,115,14%,27%
MI06,41%,58%,0%,1%,1%,120,13%,-17%
MI07,37%,48%,0%,0%,15%,341,8%,-11%
MI08,38%,47%,0%,0%,15%,156,13%,-9%
MI09,48%,35%,0%,0%,17%,173,12%,13%
MI10,36%,55%,0%,0%,10%,101,13%,-19%
MI11,35%,40%,0%,1%,23%,316,10%,-5%
MI12,53%,27%,0%,0%,20%,138,17%,25%
MI13,78%,19%,0%,3%,0%,71,15%,60%
MI14,69%,22%,0%,0%,8%,100,16%,47%
MN01,47%,36%,0%,0%,17%,329,8%,11%
MN02,34%,48%,0%,0%,18%,450,7%,-14%
MN03,40%,51%,0%,0%,8%,271,8%,-11%
MN04,56%,32%,0%,1%,11%,251,9%,24%
MN05,74%,23%,0%,1%,3%,266,9%,51%
MN06,37%,57%,0%,0%,6%,175,10%,-20%
MN07,46%,44%,0%,1%,9%,313,8%,2%
MN08,47%,42%,0%,1%,9%,375,7%,5%
MO01,71%,19%,0%,0%,10%,118,13%,52%
MO02,29%,65%,0%,0%,6%,184,10%,-35%
MO03,29%,62%,0%,0%,9%,119,13%,-33%
MO04,27%,69%,0%,0%,4%,147,13%,-42%
MO05,61%,28%,0%,0%,11%,151,15%,34%
MO06,29%,68%,0%,1%,3%,146,13%,-39%
MO07,26%,74%,0%,0%,0%,155,12%,-48%
MO08,25%,70%,0%,0%,5%,117,13%,-45%
MS01,21%,57%,0%,0%,21%,156,14%,-36%
MS02,53%,0%,23%,0%,24%,119,14%,53%
MS03,28%,58%,0%,0%,13%,181,14%,-30%
MS04,22%,66%,0%,0%,12%,198,12%,-43%
MT01,41%,49%,0%,0%,10%,497,6%,-8%
NC01,58%,22%,0%,1%,19%,84,17%,36%
NC02,36%,59%,0%,0%,4%,132,13%,-23%
NC03,37%,60%,0%,0%,3%,128,19%,-23%
NC04,73%,21%,0%,0%,6%,158,12%,52%
NC05,29%,58%,0%,0%,12%,140,12%,-29%
NC06,38%,60%,0%,0%,2%,180,10%,-22%
NC07,32%,54%,0%,0%,13%,324,9%,-22%
NC08,33%,57%,0%,3%,6%,90,16%,-24%
NC09,0%,61%,0%,17%,22%,146,12%,-61%
NC10,29%,51%,0%,1%,19%,128,21%,-22%
NC11,34%,59%,0%,0%,8%,141,14%,-25%
NC12,70%,19%,0%,5%,6%,91,15%,51%
NC13,31%,62%,0%,0%,7%,168,13%,-31%
ND01,40%,49%,0%,9%,3%,191,14%,-9%
NE01,35%,56%,0%,0%,9%,241,9%,-21%
NE02,45%,48%,0%,0%,8%,295,8%,-3%
NE03,22%,60%,0%,0%,18%,145,11%,-39%
NH01,41%,44%,0%,0%,16%,552,6%,-3%
NH02,44%,41%,0%,2%,13%,490,6%,3%
NJ01,57%,32%,0%,1%,10%,133,14%,25%
NJ02,32%,52%,0%,1%,14%,323,8%,-20%
NJ03,41%,42%,0%,1%,17%,366,8%,-1%
NJ04,36%,54%,0%,0%,10%,137,11%,-17%
NJ05,40%,57%,0%,1%,2%,157,11%,-17%
NJ06,62%,32%,0%,0%,5%,96,14%,30%
NJ07,34%,58%,0%,0%,8%,159,10%,-24%
NJ08,71%,15%,0%,1%,13%,64,19%,56%
NJ09,63%,28%,0%,0%,10%,88,16%,35%
NJ10,67%,12%,0%,1%,20%,61,18%,55%
NJ11,33%,52%,0%,1%,14%,165,10%,-19%
NJ12,57%,26%,0%,0%,18%,119,14%,31%
NM01,49%,37%,0%,0%,15%,419,10%,12%
NM02,39%,47%,0%,0%,14%,286,10%,-8%
NM03,49%,31%,0%,0%,20%,257,11%,18%
NV01,52%,37%,0%,7%,5%,197,12%,15%
NV02,24%,62%,0%,5%,9%,310,8%,-38%
NV03,32%,46%,0%,5%,17%,491,7%,-13%
NV04,45%,36%,0%,5%,13%,316,9%,9%
NY01,40%,45%,0%,0%,15%,324,9%,-5%
NY02,42%,54%,0%,1%,3%,101,13%,-12%
NY03,54%,29%,0%,2%,15%,108,13%,25%
NY04,58%,36%,0%,0%,6%,107,12%,22%
NY05,58%,0%,0%,1%,41%,37,24%,58%
NY06,67%,0%,0%,14%,20%,51,20%,67%
NY07,80%,11%,4%,0%,5%,47,20%,69%
NY08,72%,0%,12%,0%,15%,57,19%,72%
NY09,82%,0%,12%,1%,5%,77,15%,82%
NY10,75%,0%,14%,1%,10%,125,11%,75%
NY11,39%,42%,0%,1%,18%,275,10%,-4%
NY12,77%,21%,0%,0%,3%,120,11%,56%
NY13,35%,0%,44%,1%,20%,71,15%,35%
NY14,50%,0%,30%,2%,18%,64,17%,50%
NY15,82%,0%,7%,0%,10%,43,19%,82%
NY16,71%,0%,0%,7%,21%,102,12%,71%
NY17,61%,37%,0%,1%,2%,124,11%,24%
NY18,49%,41%,0%,0%,10%,344,8%,9%
NY19,34%,53%,0%,0%,12%,364,7%,-19%
NY20,57%,36%,0%,2%,6%,161,10%,21%
NY21,40%,45%,0%,1%,14%,327,8%,-5%
NY22,0%,66%,0%,14%,20%,172,9%,-66%
NY23,39%,49%,0%,0%,12%,369,8%,-10%
NY24,48%,41%,0%,1%,10%,447,7%,6%
NY25,62%,35%,0%,0%,2%,180,9%,27%
NY26,59%,26%,0%,0%,15%,153,14%,33%
NY27,33%,61%,0%,1%,6%,156,11%,-28%
OH01,35%,57%,0%,0%,8%,161,12%,-22%
OH02,31%,53%,0%,1%,15%,151,13%,-22%
OH03,61%,31%,0%,0%,7%,161,11%,30%
OH04,33%,64%,0%,0%,3%,129,11%,-31%
OH05,30%,56%,0%,0%,13%,147,12%,-26%
OH06,31%,50%,0%,1%,18%,299,8%,-18%
OH07,0%,64%,0%,5%,32%,131,13%,-64%
OH08,25%,71%,0%,0%,4%,133,13%,-46%
OH09,62%,33%,0%,2%,3%,146,11%,29%
OH10,34%,63%,0%,1%,2%,175,10%,-29%
OH11,58%,19%,0%,0%,24%,131,14%,39%
OH12,32%,61%,0%,0%,7%,173,12%,-28%
OH13,58%,35%,0%,0%,7%,165,10%,22%
OH14,36%,54%,0%,0%,10%,338,8%,-18%
OH15,31%,54%,0%,4%,11%,126,13%,-22%
OH16,28%,68%,0%,0%,4%,162,10%,-40%
OK01,0%,69%,0%,4%,27%,252,12%,-69%
OK02,28%,64%,0%,0%,8%,131,13%,-36%
OK03,22%,67%,0%,0%,11%,157,13%,-44%
OK04,27%,64%,0%,0%,9%,208,11%,-36%
OK05,32%,57%,0%,0%,11%,247,9%,-25%
OR01,57%,35%,0%,1%,7%,235,8%,22%
OR02,32%,60%,0%,0%,8%,210,10%,-28%
OR03,61%,26%,0%,1%,13%,264,9%,36%
OR04,54%,41%,0%,1%,4%,303,8%,13%
OR05,47%,37%,0%,0%,15%,409,6%,10%
PA01,74%,15%,0%,0%,12%,108,14%,59%
PA02,82%,11%,0%,0%,7%,117,14%,71%
PA03,34%,55%,0%,1%,11%,117,12%,-21%
PA04,32%,59%,0%,2%,7%,178,10%,-26%
PA05,37%,58%,0%,0%,5%,125,12%,-22%
PA06,40%,47%,0%,0%,13%,448,7%,-6%
PA07,36%,56%,0%,1%,7%,161,12%,-19%
PA08,33%,58%,0%,0%,9%,458,7%,-25%
PA09,29%,69%,0%,2%,0%,127,13%,-40%
PA10,32%,60%,0%,0%,8%,147,13%,-29%
PA11,36%,55%,0%,1%,8%,139,13%,-18%
PA12,35%,58%,0%,0%,7%,146,11%,-24%
PA13,62%,27%,0%,0%,11%,141,11%,35%
PA14,74%,0%,0%,5%,21%,153,11%,74%
PA15,0%,59%,0%,6%,35%,134,12%,-59%
PA16,39%,59%,0%,0%,1%,142,12%,-20%
PA17,51%,39%,0%,1%,9%,142,13%,12%
PA18,0%,72%,0%,9%,19%,128,12%,-72%
RI01,50%,31%,0%,0%,19%,415,8%,19%
RI02,53%,27%,0%,0%,20%,451,8%,26%
